Timestamp, pH
2025-01-04 21:12:48, 18.92
2025-01-04 21:12:49, 19.10
2025-01-04 21:12:51, 19.11
2025-01-04 21:12:52, 19.10
2025-01-04 21:12:54, 19.12
2025-01-04 21:12:55, 19.07
2025-01-04 21:12:57, 19.06
2025-01-04 21:12:58, 19.22
2025-01-04 21:13:00, 19.15
2025-01-04 21:13:01, 19.07
2025-01-04 21:13:03, 19.06
2025-01-04 21:13:04, 19.10
2025-01-04 21:13:06, 19.16
2025-01-04 21:13:07, 19.07
2025-01-04 21:13:09, 19.12
2025-01-04 21:13:10, 19.03
2025-01-04 21:13:12, 19.14
2025-01-04 21:13:13, 19.23
2025-01-04 21:13:15, 19.02
2025-01-04 21:13:16, 19.22
2025-01-04 21:13:18, 19.09
2025-01-04 21:13:19, 19.25
2025-01-04 21:13:21, 19.18
2025-01-04 21:13:22, 19.12
2025-01-04 21:13:24, 19.09
2025-01-04 21:13:25, 19.19
2025-01-04 21:13:27, 19.08
2025-01-04 21:13:28, 19.24
2025-01-04 21:13:30, 19.10
2025-01-04 21:13:31, 19.19
2025-01-04 21:13:33, 19.22
2025-01-04 21:13:34, 19.20
2025-01-04 21:13:36, 19.12
2025-01-04 21:13:37, 19.31
2025-01-04 21:13:39, 19.30
2025-01-04 21:13:40, 19.06
2025-01-04 21:13:42, 19.16
2025-01-04 21:13:43, 19.14
2025-01-04 21:13:45, 19.30
2025-01-04 21:13:46, 19.35
2025-01-04 21:13:48, 19.34
2025-01-04 21:13:49, 19.21
2025-01-04 21:13:51, 19.28
2025-01-04 21:13:52, 19.29
2025-01-04 21:13:54, 19.30
2025-01-04 21:13:55, 19.31
2025-01-04 21:13:57, 19.26
2025-01-04 21:13:58, 19.27
2025-01-04 21:14:00, 19.28
2025-01-04 21:14:01, 19.29
2025-01-04 21:14:03, 19.32
2025-01-04 21:14:04, 19.08
2025-01-04 21:14:06, 19.22
2025-01-04 21:14:07, 19.26
2025-01-04 21:14:09, 19.30
2025-01-04 21:14:10, 19.25
2025-01-04 21:14:12, 19.33
2025-01-04 21:14:13, 19.32
2025-01-04 21:14:15, 19.34
2025-01-04 21:14:16, 19.36
2025-01-04 21:14:18, 19.36
2025-01-04 21:14:19, 19.31
2025-01-04 21:14:21, 19.34
2025-01-04 21:14:22, 19.30
2025-01-04 21:14:24, 19.13
2025-01-04 21:14:25, 19.09
2025-01-04 21:14:27, 19.17
2025-01-04 21:14:28, 19.27
2025-01-04 21:14:30, 19.30
2025-01-04 21:14:31, 19.16
2025-01-04 21:14:33, 19.32
2025-01-04 21:14:34, 19.26
2025-01-04 21:14:36, 19.36
2025-01-04 21:14:37, 19.15
2025-01-04 21:14:39, 19.31
2025-01-04 21:14:40, 19.33
2025-01-04 21:14:42, 19.36
2025-01-04 21:14:43, 19.32
2025-01-04 21:14:45, 19.34
2025-01-04 21:14:46, 19.15
2025-01-04 21:14:48, 19.32
2025-01-04 21:14:49, 19.21
2025-01-04 21:14:51, 19.33
2025-01-04 21:14:52, 19.36
2025-01-04 21:14:54, 19.32
2025-01-04 21:14:55, 19.34
2025-01-04 21:14:57, 19.35
2025-01-04 21:14:58, 19.28
2025-01-04 21:15:00, 19.28
2025-01-04 21:15:01, 19.21
2025-01-04 21:15:03, 19.31
2025-01-04 21:15:04, 19.38
2025-01-04 21:15:06, 19.14
2025-01-04 21:15:07, 19.33
2025-01-04 21:15:09, 19.37
2025-01-04 21:15:10, 19.36
2025-01-04 21:15:12, 19.33
2025-01-04 21:15:13, 19.37
2025-01-04 21:15:15, 19.34
2025-01-04 21:15:16, 19.25
2025-01-04 21:15:18, 19.34
2025-01-04 21:15:19, 19.09
2025-01-04 21:15:21, 19.29
2025-01-04 21:15:22, 19.31
2025-01-04 21:15:24, 19.29
2025-01-04 21:15:25, 19.33
2025-01-04 21:15:27, 19.36
2025-01-04 21:15:28, 19.19
2025-01-04 21:15:30, 19.42
