Timestamp, pH Value
2024-11-17 18:24:59, Ready
2024-11-17 18:24:59, pH:5.70
2024-11-17 18:25:00, pH:4.54
2024-11-17 18:25:01, pH:4.26
2024-11-17 18:25:02, pH:4.12
2024-11-17 18:25:03, pH:4.09
2024-11-17 18:25:04, pH:4.12
2024-11-17 18:25:05, pH:4.10
2024-11-17 18:25:05, pH:4.04
2024-11-17 18:25:06, pH:4.09
2024-11-17 18:25:07, pH:4.10
2024-11-17 18:25:08, pH:4.06
2024-11-17 18:25:09, pH:4.10
2024-11-17 18:25:10, pH:4.07
2024-11-17 18:25:11, pH:4.06
2024-11-17 18:25:12, pH:4.08
2024-11-17 18:25:13, pH:4.09
2024-11-17 18:25:14, pH:4.06
2024-11-17 18:25:14, pH:4.08
2024-11-17 18:25:15, pH:4.09
2024-11-17 18:25:16, pH:4.05
2024-11-17 18:25:17, pH:4.08
2024-11-17 18:25:18, pH:4.10
2024-11-17 18:25:19, pH:4.08
2024-11-17 18:25:20, pH:4.10
2024-11-17 18:25:21, pH:4.08
2024-11-17 18:25:22, pH:4.05
2024-11-17 18:25:23, pH:4.08
2024-11-17 18:25:23, pH:4.09
2024-11-17 18:25:24, pH:4.06
2024-11-17 18:25:25, pH:4.08
2024-11-17 18:25:26, pH:4.08
2024-11-17 18:25:27, pH:4.06
2024-11-17 18:25:28, pH:4.08
2024-11-17 18:25:29, pH:4.09
2024-11-17 18:25:30, pH:4.07
2024-11-17 18:25:31, pH:4.08
2024-11-17 18:25:32, pH:4.08
2024-11-17 18:25:32, pH:4.06
2024-11-17 18:25:33, pH:4.08
2024-11-17 18:25:34, pH:4.09
2024-11-17 18:25:35, pH:4.06
2024-11-17 18:25:36, pH:4.06
2024-11-17 18:25:37, pH:4.08
2024-11-17 18:25:38, pH:4.06
2024-11-17 18:25:39, pH:4.07
2024-11-17 18:25:40, pH:4.08
2024-11-17 18:25:41, pH:4.07
2024-11-17 18:25:41, pH:4.05
2024-11-17 18:25:42, pH:4.09
2024-11-17 18:25:43, pH:4.08
2024-11-17 18:25:44, pH:4.05
2024-11-17 18:25:45, pH:4.09
2024-11-17 18:25:46, pH:4.09
2024-11-17 18:25:47, pH:4.42
2024-11-17 18:25:48, pH:3.99
2024-11-17 18:25:49, pH:4.05
2024-11-17 18:25:50, pH:4.06
2024-11-17 18:25:51, pH:3.83
2024-11-17 18:25:51, pH:4.14
2024-11-17 18:25:52, pH:3.99
2024-11-17 18:25:53, pH:4.00
2024-11-17 18:25:54, pH:4.02
2024-11-17 18:25:55, pH:4.01
2024-11-17 18:25:56, pH:4.10
2024-11-17 18:25:57, pH:3.82
2024-11-17 18:25:58, pH:3.84
2024-11-17 18:25:59, pH:3.99
2024-11-17 18:26:00, pH:4.06
2024-11-17 18:26:00, pH:14.80
2024-11-17 18:26:01, pH:10.09
2024-11-17 18:26:02, pH:12.84
2024-11-17 18:26:03, pH:6.45
2024-11-17 18:26:04, pH:5.19
2024-11-17 18:26:05, pH:4.63
2024-11-17 18:26:06, pH:4.39
2024-11-17 18:26:07, pH:4.22
2024-11-17 18:26:08, pH:4.18
2024-11-17 18:26:09, pH:4.18
2024-11-17 18:26:09, pH:4.12
2024-11-17 18:26:10, pH:4.13
2024-11-17 18:26:11, pH:4.12
2024-11-17 18:26:12, pH:4.09
2024-11-17 18:26:13, pH:4.08
2024-11-17 18:26:14, pH:4.10
2024-11-17 18:26:15, pH:4.09
2024-11-17 18:26:16, pH:4.07
2024-11-17 18:26:17, pH:4.10
2024-11-17 18:26:18, pH:4.09
2024-11-17 18:26:18, pH:4.07
2024-11-17 18:26:19, pH:4.08
2024-11-17 18:26:20, pH:4.10
2024-11-17 18:26:21, pH:4.05
2024-11-17 18:26:22, pH:4.57
2024-11-17 18:26:23, pH:4.19
2024-11-17 18:26:24, pH:4.00
2024-11-17 18:26:25, pH:3.98
2024-11-17 18:26:26, pH:4.05
2024-11-17 18:26:27, pH:4.09
2024-11-17 18:26:27, pH:4.06
2024-11-17 18:26:28, pH:4.08
2024-11-17 18:26:29, pH:4.07
2024-11-17 18:26:30, pH:4.05
2024-11-17 18:26:31, pH:4.08
2024-11-17 18:26:32, pH:4.09
2024-11-17 18:26:33, pH:4.06
2024-11-17 18:26:34, pH:4.06
2024-11-17 18:26:35, pH:4.08
2024-11-17 18:26:36, pH:4.06
2024-11-17 18:26:36, pH:4.08
2024-11-17 18:26:37, pH:4.09
2024-11-17 18:26:38, pH:4.07
2024-11-17 18:26:39, pH:4.07
2024-11-17 18:26:40, pH:4.07
2024-11-17 18:26:41, pH:4.04
